Year	Ash Wednesday	Good Friday	Easter	Ascension Day	Whitsunday
2020	26.02	10.04	12.04	21.05	31.05.
2021	17.02	02.04	04.04	13.05	23.05.
2022	02.03	15.04	17.04	26.05	05.06.
2023	22.02	07.04	09.04	18.05	28.05.
2024	14.02	29.03	31.03	09.05	19.05.
2025	05.03	18.04	20.04	29.05	08.06.
2026	18.02	03.04	05.04	14.05	24.05.
2027	10.02	26.03	28.03	06.05	16.05.
2028	01.03	14.04	16.04	25.05	04.06.
2029	14.02	30.03	01.04	10.05	20.05.
2030	06.03	19.04	21.04	30.05	09.06.
2031	26.02	11.04	13.04	22.05	01.06.
2032	11.02	26.03	28.03	06.05	16.05.
2033	02.03	15.04	17.04	26.05	05.06.
2034	22.02	07.04	09.04	18.05	28.05.
2035	07.02	23.03	25.03	03.05	13.05.
2036	27.02	11.04	13.04	22.05	01.06.
2037	18.02	03.04	05.04	14.05	24.05.
2038	10.03	23.04	25.04	03.06	13.06.
2039	23.02	08.04	10.04	19.05	29.05.
2040	15.02	30.03	01.04	10.05	20.05.
2041	06.03	19.04	21.04	30.05	09.06.
2042	19.02	04.04	06.04	15.05	25.05.
2043	11.02	27.03	29.03	07.05	17.05.
2044	02.03	15.04	17.04	26.05	05.06.
2045	22.02	07.04	09.04	18.05	28.05.
2046	07.02	23.03	25.03	03.05	13.05.
2047	27.02	12.04	14.04	23.05	02.06.
2048	19.02	03.04	05.04	14.05	24.05.
2049	03.03	16.04	18.04	27.05	06.06.
2050	23.02	08.04	10.04	19.05	29.05.
2051	15.02	31.03	02.04	11.05	21.05.
2052	06.03	19.04	21.04	30.05	09.06.
2053	19.02	04.04	06.04	15.05	25.05.
2054	11.02	27.03	29.03	07.05	17.05.
2055	03.03	16.04	18.04	27.05	06.06.
2056	16.02	31.03	02.04	11.05	21.05.
2057	07.03	20.04	22.04	31.05	10.06.
2058	27.02	12.04	14.04	23.05	02.06.
2059	12.02	28.03	30.03	08.05	18.05.